Score_x	global_link	Score_y	mirmap_link	Comparison	pydeg_settings_label	Transcript	miRNA	pydeg_settings
40.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G52030_1_ath-miR5645c_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G52030.1	ath-miR5645c	0
70.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G53160_1_ath-miR157d_0_95_4.png?raw=true	-28.8999996185	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/mirmap/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_mirmap_AT1G53160_1_ath-miR157d_0_95_4.png?raw=true	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G53160.1	ath-miR157d	0
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G59700_1_ath-miR5021_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G59700.1	ath-miR5021	0
37.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G65430_1_ath-miR403-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G65430.1	ath-miR403-5p	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G67140_1_ath-miR869.2_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G67140.1	ath-miR869.2	0
40.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G68080_1_ath-miR5647_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G68080.1	ath-miR5647	0
49.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G77920_1_ath-miR8170-3p_0_95_4.png?raw=true	-19.7000007629	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/mirmap/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_mirmap_AT1G77920_1_ath-miR8170-3p_0_95_4.png?raw=true	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G77920.1	ath-miR8170-3p	0
39.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G02100_1_ath-miR779.1_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G02100.1	ath-miR779.1	0
38.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G14170_1_ath-miR4221_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G14170.1	ath-miR4221	0
39.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G16500_1_ath-miR5663-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G16500.1	ath-miR5663-5p	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G16640_1_ath-miR5024-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G16640.1	ath-miR5024-5p	0
45.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G18050_1_ath-miR8182_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G18050.1	ath-miR8182	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G27830_1_ath-miR5029_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G27830.1	ath-miR5029	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G33500_1_ath-miR853_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G33500.1	ath-miR853	0
37.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G34730_1_ath-miR829-3p.1_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G34730.1	ath-miR829-3p.1	0
40.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G36360_2_ath-miR780.2_0_95_4.png?raw=true	-18.2000007629	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/mirmap/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_mirmap_AT2G36360_2_ath-miR780.2_0_95_4.png?raw=true	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G36360.2	ath-miR780.2	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G39705_1_ath-miR5645d_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G39705.1	ath-miR5645d	0
40.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G40600_1_ath-miR171b-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G40600.1	ath-miR171b-5p	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G40935_1_ath-miR855_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G40935.1	ath-miR855	0
44.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT2G46030_2_ath-miR403-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT2G46030.2	ath-miR403-5p	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G03160_1_ath-miR447c-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G03160.1	ath-miR447c-3p	0
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G12680_1_ath-miR156i_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G12680.1	ath-miR156i	0
49.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G12950_1_ath-miR823_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G12950.1	ath-miR823	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G13670_1_ath-miR782_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G13670.1	ath-miR782	0
34.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G14150_1_ath-miR866-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G14150.1	ath-miR866-3p	0
38.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G15580_1_ath-miR5024-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G15580.1	ath-miR5024-5p	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G16310_1_ath-miR171b-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G16310.1	ath-miR171b-3p	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G16660_2_ath-miR857_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G16660.2	ath-miR857	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G18380_2_ath-miR850_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G18380.2	ath-miR850	0
34.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G27560_1_ath-miR167c-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G27560.1	ath-miR167c-3p	0
34.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G28455_1_ath-miR172b-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G28455.1	ath-miR172b-5p	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G50240_1_ath-miR167d_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G50240.1	ath-miR167d	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G54380_1_ath-miR782_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G54380.1	ath-miR782	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G59050_1_ath-miR4245_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G59050.1	ath-miR4245	0
42.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G59670_1_ath-miR156d-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G59670.1	ath-miR156d-3p	0
39.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G61240_1_ath-miR397a_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G61240.1	ath-miR397a	0
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G62360_1_ath-miR172b-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G62360.1	ath-miR172b-5p	0
39.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT3G63530_1_ath-miR5014a-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT3G63530.1	ath-miR5014a-5p	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G00500_1_ath-miR10515_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G00500.1	ath-miR10515	0
37.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G00840_1_ath-miR828_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G00840.1	ath-miR828	0
43.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G16280_2_ath-miR5645d_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G16280.2	ath-miR5645d	0
39.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G16570_1_ath-miR162a-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G16570.1	ath-miR162a-3p	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G17870_1_ath-miR163_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G17870.1	ath-miR163	0
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G18820_1_ath-miR390b-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G18820.1	ath-miR390b-3p	0
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G19003_1_ath-miR855_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G19003.1	ath-miR855	0
44.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G19070_1_ath-miR4221_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G19070.1	ath-miR4221	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G19400_1_ath-miR833a-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G19400.1	ath-miR833a-3p	0
36.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G19410_2_ath-miR833a-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G19410.2	ath-miR833a-3p	0
40.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G21400_1_ath-miR414_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G21400.1	ath-miR414	0
45.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G24470_3_ath-miR393a-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G24470.3	ath-miR393a-5p	0
40.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G25280_1_ath-miR5658_0_95_4.png?raw=true	-17.2000007629	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/mirmap/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_mirmap_AT4G25280_1_ath-miR5658_0_95_4.png?raw=true	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G25280.1	ath-miR5658	0
40.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G26160_1_ath-miR8174_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G26160.1	ath-miR8174	0
37.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G29110_1_ath-miR8177_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G29110.1	ath-miR8177	0
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G34480_1_ath-miR5024-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G34480.1	ath-miR5024-5p	0
38.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G36270_1_ath-miR831-3p_0_95_4.png?raw=true	-15.6999998093	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/mirmap/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_mirmap_AT4G36270_1_ath-miR831-3p_0_95_4.png?raw=true	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G36270.1	ath-miR831-3p	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT4G37260_1_ath-miR5019_0_95_4.png?raw=true	-14.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/mirmap/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_mirmap_AT4G37260_1_ath-miR5019_0_95_4.png?raw=true	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT4G37260.1	ath-miR5019	0
34.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT5G02740_1_ath-miR5662_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT5G02740.1	ath-miR5662	0
42.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT5G03050_1_ath-miR5654-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT5G03050.1	ath-miR5654-3p	0
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT5G05330_1_ath-miR3434-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT5G05330.1	ath-miR3434-5p	0
